"state_fips","county_fips","STNAME","CTYNAME","land_area","hail_tot_intensity","tornado_tot_intensity","hurricane_tot_intensity","wind_tot_intensity","highfirerisk"
1,1,"Alabama","Autauga County",0.1502600704145,97.18,30,393770.833333333,5694,0.156088474970896
1,3,"Alabama","Baldwin County",0.409937682202052,145.2,60,23481494.212963,7295,0.476767169179229
1,5,"Alabama","Barbour County",0.223255726739205,80.29,15,1150042.24537037,2179,0.00606871654425495
1,7,"Alabama","Bibb County",0.156525097951499,72.15,17,980837.962962963,3803,0.0684463619612602
1,9,"Alabama","Blount County",0.16440370938,94.43,46,173391.203703704,7908,0.014492126665513
1,11,"Alabama","Bullock County",0.154681952841001,30.51,3,1148537.03703704,1499,0.0063949560909705
1,13,"Alabama","Butler County",0.191692124895,38.27,18,828259.837962963,2999,0.00202641577709426
1,15,"Alabama","Calhoun County",0.154328662627999,140.83,30,65578.125,6070,0.264050365332475
1,17,"Alabama","Chambers County",0.150586857390365,87.27,15,758956.597222222,2473,0.0215038716298162
1,19,"Alabama","Cherokee County",0.151938798826766,112.46,15,118125,5152,0.241283844024213
1,21,"Alabama","Chilton County",0.174812055149001,93.67,24,362405.671296296,4503,0.18693766066838
1,23,"Alabama","Choctaw County",0.227715697035334,67.15,19,1155617.47685185,5257,0.0017728870548678
1,25,"Alabama","Clarke County",0.308576293434498,95.96,32,4705361.11111111,6277,0.0576244521856388
1,27,"Alabama","Clay County",0.151835491852499,42.16,20,133202.546296296,3340,0.160046457607434
1,29,"Alabama","Cleburne County",0.141308060648754,39.52,20,163046.875,2434,0.265964384248809
1,31,"Alabama","Coffee County",0.167191942850999,40.9,44,2811426.50462963,4159,0.00707196029776675
1,33,"Alabama","Colbert County",0.158870838944833,118.98,36,181255.787037037,15532,0.0358029707887489
1,35,"Alabama","Conecuh County",0.209553543255999,34.51,17,2227686.9212963,3023,0.148414557692942
1,37,"Alabama","Coosa County",0.16642186465,49.27,9,458572.916666667,1611,0.135033568382384
1,39,"Alabama","Covington County",0.256013862746188,112.18,27,1615468.75,5545,0.0340235091124771
1,41,"Alabama","Crenshaw County",0.150586864688502,34,13,152380.787037037,2971,0.00239576134531214
1,43,"Alabama","Cullman County",0.191080041017998,246.68,86,107167.24537037,12415,0.0184149705509581
1,45,"Alabama","Dale County",0.138198773910461,54.15,20,1824793.98148148,6677,0.00415394624893649
1,47,"Alabama","Dallas County",0.246517364179,124.04,34,786204.861111111,4008,0.00388058010423748
1,49,"Alabama","DeKalb County",0.197869084693414,189.38,70,509921.875,12659,0.16450983227299
1,51,"Alabama","Elmore County",0.1634661706885,110.56,23,690141.203703704,7062,0.0687143897528167
1,53,"Alabama","Escambia County",0.2333438030103,52.52,24,5295085.64814815,4265,0.535677352637022
1,55,"Alabama","Etowah County",0.138753387069,117.53,30,445016.203703704,9024,0.0451444108141384
